,2020_zip_tot,2015_zip_tot,2010_zip_tot,pct_change_10_15,pct_change_15_20,pct_change_10_20,naive_10_15,naive_15_20,naive_10_20,IQR_10_15,IQR_15_20,IQR_10_20
11217,4221419039,1643629333,841609944,0.14324314243358494,0.20762172196533824,0.174991596689402,1,1,1,1,1,1
11222,2857905179,893283312,640825776,0.06868533472196447,0.2618615840380567,0.16126352276754963,1,1,1,2,1,1
11211,5361363301,2123151045,1273484614,0.10763695721442001,0.20353540065147468,0.15459096180311294,1,1,1,2,1,1
11109,391508569,295212115,104250026,0.2314353058038341,0.0580870989417428,0.14147527798564985,1,3,1,1,2,1
11237,1650232256,614444695,445082144,0.06661705947433028,0.21846330489606025,0.14001480137128497,2,1,1,2,1,1
10451,2955189846,1241601137,811352484,0.08881603049033227,0.18938006982593847,0.13798773559832012,1,1,1,2,1,1
11215,4348534938,1537032093,1206522850,0.04961366663725597,0.23120963545141882,0.1367913000482026,2,1,1,2,1,1
11216,1675904713,661778293,466148001,0.07259986587401435,0.20422422883350477,0.13650813737916345,1,1,1,2,1,1
11238,2671011603,1143914580,748085135,0.08865059448930257,0.18483107439153512,0.13572314122137352,1,1,1,2,1,1
11221,1951276838,737722211,567376451,0.05391190553892522,0.21474524027713815,0.13147446764158954,2,1,1,2,1,1
11231,2200991167,800836996,658388175,0.039949908768873055,0.22409418360739752,0.12827152519551843,2,1,1,2,1,2
11233,1446759191,600606477,447543836,0.06059820136034366,0.1922332997003129,0.12449121528985696,2,1,1,2,1,2
10007,5490320577,3648018396,1959996923,0.13229692013233874,0.0851958811826743,0.10849625800155116,1,2,1,1,2,2
11102,1246246766,640876614,445807989,0.0752892782538026,0.14226251237760068,0.10827010810130822,1,1,1,2,2,2
11206,2595161176,1296736659,942351163,0.06592783569719374,0.14884783293191228,0.10661144224272534,2,1,1,2,2,2
11101,5067180813,2796929117,1842293510,0.08708756408308083,0.12620379973876106,0.10647283984701561,1,1,1,2,2,2
10012,5712678085,3252999940,2082959110,0.09325296068832611,0.1192088595011902,0.10615478088659946,1,1,1,2,2,2
11226,2136274250,1089413490,791967155,0.06585251825602789,0.14417604618015156,0.10432011670047014,2,1,1,2,2,2
11220,2328246078,1125935956,865549649,0.05400905211629792,0.15638656766710546,0.10401173456935009,2,1,1,2,2,2
10065,11520942725,8838109893,4301435059,0.15491282833343312,0.0544493515196669,0.1035384374356576,1,3,1,1,2,2
11205,1938317169,981285801,726221102,0.0620508970936311,0.1458449777645856,0.10315261254511365,2,1,1,2,2,2
11239,903855160,561594120,338866042,0.10631525362225402,0.0998545554555248,0.10308017454143847,1,2,1,2,2,2
11213,1466896173,758230887,551566937,0.06571394676914943,0.1410891627439872,0.10275774095827561,2,1,1,2,2,2
10013,8183441186,4874189265,3115655829,0.09363042104668451,0.1091919661458034,0.10138371013813097,1,1,1,2,2,2
10001,14826862696,8823127439,5776566668,0.08840506070936138,0.10939279941956737,0.09884882363443537,1,1,1,2,2,2
11201,8737729227,4733022326,3408141206,0.06788428281360326,0.13045168580944222,0.0987227073998449,1,1,1,2,2,2
11385,2783458099,1440455973,1094961057,0.056380225629022895,0.14081951022114425,0.09778830910581471,2,1,1,2,2,2
10009,3626813640,2255171529,1430109067,0.09537313176833884,0.0996871038635685,0.0975279982416355,1,2,1,2,2,2
10014,6155279605,3687662549,2443623668,0.0857838307943799,0.10789683725976507,0.0967846060575821,1,1,1,2,2,2
11218,1582927025,803848591,628857442,0.05032671048449444,0.1451366851626048,0.09670763997610443,2,1,1,2,2,2
11219,2128019929,1107764285,850234692,0.054342486593110806,0.1394772698284572,0.0960836182003928,2,1,1,2,2,2
11103,1272828763,652917891,511885707,0.049873837002221366,0.14283171038091425,0.09536711326633407,2,1,1,2,2,2
10002,4928470639,2969147364,1989700947,0.08335000397874714,0.10666476865601693,0.09494533266580718,1,2,1,2,2,2
11366,728595507,320482302,295482612,0.01637605391284902,0.17851872559383986,0.094448816428373,3,1,1,2,1,2
10037,879103545,658926061,359967847,0.12853386215983797,0.05935292328454267,0.09339638096374703,1,3,1,1,2,2
11207,1932989427,1039410458,795247330,0.055010962829656895,0.13210961606424632,0.09288062297428157,2,1,1,2,2,2
11232,1756189424,1012482152,729018308,0.0678980371260578,0.1164436199941763,0.09190107168813189,1,1,1,2,2,2
11204,1845239400,962579057,769370288,0.045827842412023534,0.13899878853692726,0.09141955522405909,2,1,1,2,2,2
11223,1794146514,979708966,754186524,0.05371621430188922,0.12863149319308853,0.0905307443393375,2,1,1,2,2,2
10011,9791353322,6132120486,4150842679,0.08117222727677431,0.09811142128209593,0.0896089074276274,1,2,1,2,2,2
11692,451851579,218617769,192262958,0.0260250585531272,0.15627748525637064,0.08920598350992837,3,1,1,2,2,2
11105,1220408383,679148287,529735320,0.05094777688486363,0.12436706177638879,0.08703774726384816,2,1,1,2,2,2
